time,turbine_id,temperature_2m,pressure_msl,wind_speed_100m,wind_direction_100m,air_density_kg_m3,expected_power_kw,actual_power_kw,nacelle_temp_c,vibration_mm_s,alert,hour
2024-08-01 00:00:00+00:00,T01,25.39,1011.2,5.79,255,1.18,97.5,24.9,35.2,3.49,Normal,0
2024-08-01 01:00:00+00:00,T01,27.82,1011.5,6.16,263,1.171,141.7,233.3,37.9,3.58,Normal,1
2024-08-01 02:00:00+00:00,T01,27.09,1012.7,5.74,211,1.175,92.4,165.9,37.4,1.89,Normal,2
2024-08-01 03:00:00+00:00,T01,27.91,1012.4,7.52,255,1.171,414.7,451.8,43.0,2.95,Normal,3
2024-08-01 04:00:00+00:00,T01,28.75,1012.3,8.05,260,1.168,578.3,454.8,40.6,2.13,Normal,4
2024-08-01 05:00:00+00:00,T01,30.35,1013.3,2.66,228,1.163,0.0,0.0,38.5,1.89,Normal,5
2024-08-01 06:00:00+00:00,T01,32.19,1012.8,7.46,235,1.156,398.4,635.3,44.5,3.08,Normal,6
2024-08-01 07:00:00+00:00,T01,32.68,1013.4,5.63,227,1.154,81.7,0.0,44.1,3.32,Normal,7
2024-08-01 08:00:00+00:00,T01,35.81,1013.7,2.49,242,1.143,0.0,0.0,45.4,4.25,Normal,8
2024-08-01 09:00:00+00:00,T01,34.68,1013.1,7.07,292,1.147,302.7,427.4,48.6,3.55,Normal,9
2024-08-01 10:00:00+00:00,T01,35.3,1015.0,5.97,219,1.146,117.6,168.0,45.8,3.01,Normal,10
2024-08-01 11:00:00+00:00,T01,36.0,1014.9,6.75,211,1.144,236.8,45.4,48.7,2.98,Normal,11
2024-08-01 12:00:00+00:00,T01,35.95,1014.9,3.71,263,1.144,1.6,119.4,46.5,1.92,Normal,12
2024-08-01 13:00:00+00:00,T01,33.38,1013.4,8.75,243,1.152,853.7,1030.2,53.7,3.87,Normal,13
2024-08-01 14:00:00+00:00,T01,32.71,1014.4,5.48,198,1.155,68.5,0.0,41.1,2.87,Normal,14
2024-08-01 15:00:00+00:00,T01,32.04,1013.5,4.81,213,1.157,26.6,81.6,40.6,2.37,Normal,15
2024-08-01 16:00:00+00:00,T01,29.62,1015.5,7.34,214,1.168,367.1,482.6,44.8,2.82,Normal,16
2024-08-01 17:00:00+00:00,T01,27.46,1012.6,6.19,223,1.174,145.8,234.5,40.8,2.2,Normal,17
2024-08-01 18:00:00+00:00,T01,28.14,1014.4,6.9,243,1.173,266.4,241.0,41.9,2.86,Normal,18
2024-08-01 19:00:00+00:00,T01,26.98,1014.9,7.32,253,1.178,362.0,24.8,37.3,3.48,Normal,19
2024-08-01 20:00:00+00:00,T01,25.82,1015.7,2.9,227,1.183,0.0,0.0,34.9,2.88,Normal,20
2024-08-01 21:00:00+00:00,T01,24.24,1014.4,8.66,232,1.188,814.2,721.0,38.6,2.57,Normal,21
2024-08-01 22:00:00+00:00,T01,24.71,1014.4,5.83,206,1.186,101.8,283.3,37.9,1.5,Normal,22
2024-08-01 23:00:00+00:00,T01,24.73,1013.4,6.91,250,1.185,268.4,276.9,37.8,2.93,Normal,23
2024-08-02 00:00:00+00:00,T01,25.57,1014.2,8.56,256,1.183,771.8,982.8,44.8,2.58,Normal,0
2024-08-02 01:00:00+00:00,T01,27.83,1015.3,5.89,220,1.175,108.4,197.4,41.6,3.34,Normal,1
2024-08-02 02:00:00+00:00,T01,28.99,1014.9,7.87,200,1.17,518.7,164.9,40.7,1.96,Low Output,2
2024-08-02 03:00:00+00:00,T01,29.13,1014.7,8.12,269,1.169,602.7,400.7,40.7,2.96,Normal,3
2024-08-02 04:00:00+00:00,T01,30.71,1013.8,7.34,233,1.162,367.1,344.4,43.5,2.66,Normal,4
2024-08-02 05:00:00+00:00,T01,32.14,1015.1,8.06,187,1.158,581.8,681.2,47.0,2.37,Normal,5
2024-08-02 06:00:00+00:00,T01,32.12,1015.3,4.47,163,1.159,14.3,0.0,39.2,3.01,Normal,6
2024-08-02 07:00:00+00:00,T01,33.36,1014.1,4.58,196,1.153,17.7,0.0,43.0,2.45,Normal,7
2024-08-02 08:00:00+00:00,T01,33.65,1014.1,4.68,238,1.151,21.3,162.1,46.4,2.28,Normal,8
2024-08-02 09:00:00+00:00,T01,34.63,1015.8,6.65,198,1.15,218.4,577.0,48.6,2.46,Normal,9
2024-08-02 10:00:00+00:00,T01,37.23,1014.7,11.16,200,1.139,2439.9,2429.6,67.1,2.27,Overheating,10
2024-08-02 11:00:00+00:00,T01,35.7,1014.1,5.5,191,1.144,70.2,58.4,48.1,3.7,Normal,11
2024-08-02 12:00:00+00:00,T01,34.03,1014.9,4.9,220,1.151,30.8,21.8,43.4,2.89,Normal,12
2024-08-02 13:00:00+00:00,T01,32.87,1013.0,4.44,240,1.153,13.4,0.0,43.2,1.0,Normal,13
2024-08-02 14:00:00+00:00,T01,31.32,1013.3,5.65,171,1.159,83.6,363.5,41.7,3.07,Normal,14
2024-08-02 15:00:00+00:00,T01,31.45,1015.6,5.36,196,1.162,59.0,0.0,43.0,3.01,Normal,15
2024-08-02 16:00:00+00:00,T01,30.19,1015.4,2.23,202,1.166,0.0,3.9,40.0,1.24,Normal,16
2024-08-02 17:00:00+00:00,T01,27.24,1011.8,5.26,197,1.173,51.8,0.0,35.7,2.46,Normal,17
2024-08-02 18:00:00+00:00,T01,27.53,1013.7,4.13,178,1.175,6.5,31.3,37.0,3.67,Normal,18
2024-08-02 19:00:00+00:00,T01,25.65,1014.7,5.22,223,1.183,29.5,213.1,37.0,1.59,Normal,19
2024-08-02 20:00:00+00:00,T01,26.87,1012.5,1.49,219,1.176,0.0,0.0,38.9,1.69,Normal,20
2024-08-02 21:00:00+00:00,T01,25.37,1012.9,1.98,233,1.182,0.0,0.0,34.4,2.98,Normal,21
2024-08-02 22:00:00+00:00,T01,26.45,1014.4,5.71,252,1.179,89.4,0.0,36.6,3.12,Normal,22
2024-08-02 23:00:00+00:00,T01,24.71,1011.8,2.59,207,1.183,0.0,0.0,35.2,2.61,Normal,23
2024-08-03 00:00:00+00:00,T01,25.39,1011.9,5.93,223,1.181,113.0,22.8,35.8,2.23,Normal,0
2024-08-03 01:00:00+00:00,T01,26.71,1012.0,6.07,212,1.176,129.9,95.9,39.4,2.66,Normal,1
2024-08-03 02:00:00+00:00,T01,28.68,1009.7,5.93,224,1.165,113.0,135.5,44.4,2.52,Normal,2
2024-08-03 03:00:00+00:00,T01,29.06,1011.7,6.44,240,1.166,182.8,280.1,39.7,3.66,Normal,3
2024-08-03 04:00:00+00:00,T01,28.93,1009.8,6.13,228,1.164,137.7,71.7,40.1,2.99,Normal,4
2024-08-03 05:00:00+00:00,T01,31.2,1011.7,6.44,193,1.158,182.8,384.4,44.1,2.74,Normal,5
2024-08-03 06:00:00+00:00,T01,32.75,1013.0,4.87,272,1.154,29.4,0.0,41.1,3.38,Normal,6
2024-08-03 07:00:00+00:00,T01,33.29,1011.1,5.8,242,1.15,98.6,34.8,43.7,2.65,Normal,7
2024-08-03 08:00:00+00:00,T01,33.94,1010.2,9.29,213,1.146,1117.5,1338.1,53.8,2.24,Normal,8
