time,turbine_id,expected_power_kw,actual_power_kw,nacelle_temp_c,vibration_mm_s,alert
2024-08-01 00:00:00+00:00,T01,97.5,24.9,35.2,3.49,Normal
2024-08-01 01:00:00+00:00,T01,141.7,233.3,37.9,3.58,Normal
2024-08-01 02:00:00+00:00,T01,92.4,165.9,37.4,1.89,Normal
2024-08-01 03:00:00+00:00,T01,414.7,451.8,43.0,2.95,Normal
2024-08-01 04:00:00+00:00,T01,578.3,454.8,40.6,2.13,Normal
2024-08-01 05:00:00+00:00,T01,0.0,0.0,38.5,1.89,Normal
2024-08-01 06:00:00+00:00,T01,398.4,635.3,44.5,3.08,Normal
2024-08-01 07:00:00+00:00,T01,81.7,0.0,44.1,3.32,Normal
2024-08-01 08:00:00+00:00,T01,0.0,0.0,45.4,4.25,Normal
2024-08-01 09:00:00+00:00,T01,302.7,427.4,48.6,3.55,Normal
2024-08-01 10:00:00+00:00,T01,117.6,168.0,45.8,3.01,Normal
2024-08-01 11:00:00+00:00,T01,236.8,45.4,48.7,2.98,Normal
2024-08-01 12:00:00+00:00,T01,1.6,119.4,46.5,1.92,Normal
2024-08-01 13:00:00+00:00,T01,853.7,1030.2,53.7,3.87,Normal
2024-08-01 14:00:00+00:00,T01,68.5,0.0,41.1,2.87,Normal
2024-08-01 15:00:00+00:00,T01,26.6,81.6,40.6,2.37,Normal
2024-08-01 16:00:00+00:00,T01,367.1,482.6,44.8,2.82,Normal
2024-08-01 17:00:00+00:00,T01,145.8,234.5,40.8,2.2,Normal
2024-08-01 18:00:00+00:00,T01,266.4,241.0,41.9,2.86,Normal
2024-08-01 19:00:00+00:00,T01,362.0,24.8,37.3,3.48,Normal
2024-08-01 20:00:00+00:00,T01,0.0,0.0,34.9,2.88,Normal
2024-08-01 21:00:00+00:00,T01,814.2,721.0,38.6,2.57,Normal
2024-08-01 22:00:00+00:00,T01,101.8,283.3,37.9,1.5,Normal
2024-08-01 23:00:00+00:00,T01,268.4,276.9,37.8,2.93,Normal
2024-08-02 00:00:00+00:00,T01,771.8,982.8,44.8,2.58,Normal
2024-08-02 01:00:00+00:00,T01,108.4,197.4,41.6,3.34,Normal
2024-08-02 02:00:00+00:00,T01,518.7,164.9,40.7,1.96,Low Output
2024-08-02 03:00:00+00:00,T01,602.7,400.7,40.7,2.96,Normal
2024-08-02 04:00:00+00:00,T01,367.1,344.4,43.5,2.66,Normal
2024-08-02 05:00:00+00:00,T01,581.8,681.2,47.0,2.37,Normal
2024-08-02 06:00:00+00:00,T01,14.3,0.0,39.2,3.01,Normal
2024-08-02 07:00:00+00:00,T01,17.7,0.0,43.0,2.45,Normal
2024-08-02 08:00:00+00:00,T01,21.3,162.1,46.4,2.28,Normal
2024-08-02 09:00:00+00:00,T01,218.4,577.0,48.6,2.46,Normal
2024-08-02 10:00:00+00:00,T01,2439.9,2429.6,67.1,2.27,Overheating
2024-08-02 11:00:00+00:00,T01,70.2,58.4,48.1,3.7,Normal
2024-08-02 12:00:00+00:00,T01,30.8,21.8,43.4,2.89,Normal
2024-08-02 13:00:00+00:00,T01,13.4,0.0,43.2,1.0,Normal
2024-08-02 14:00:00+00:00,T01,83.6,363.5,41.7,3.07,Normal
2024-08-02 15:00:00+00:00,T01,59.0,0.0,43.0,3.01,Normal
2024-08-02 16:00:00+00:00,T01,0.0,3.9,40.0,1.24,Normal
2024-08-02 17:00:00+00:00,T01,51.8,0.0,35.7,2.46,Normal
2024-08-02 18:00:00+00:00,T01,6.5,31.3,37.0,3.67,Normal
