time,turbine_id,temperature_2m,pressure_msl,wind_speed_100m,wind_direction_100m,air_density_kg_m3
2024-08-01 00:00:00+00:00,T01,25.39,1011.2,5.79,255,1.18
2024-08-01 01:00:00+00:00,T01,27.82,1011.5,6.16,263,1.171
2024-08-01 02:00:00+00:00,T01,27.09,1012.7,5.74,211,1.175
2024-08-01 03:00:00+00:00,T01,27.91,1012.4,7.52,255,1.171
2024-08-01 04:00:00+00:00,T01,28.75,1012.3,8.05,260,1.168
2024-08-01 05:00:00+00:00,T01,30.35,1013.3,2.66,228,1.163
2024-08-01 06:00:00+00:00,T01,32.19,1012.8,7.46,235,1.156
2024-08-01 07:00:00+00:00,T01,32.68,1013.4,5.63,227,1.154
2024-08-01 08:00:00+00:00,T01,35.81,1013.7,2.49,242,1.143
2024-08-01 09:00:00+00:00,T01,34.68,1013.1,7.07,292,1.147
2024-08-01 10:00:00+00:00,T01,35.3,1015.0,5.97,219,1.146
2024-08-01 11:00:00+00:00,T01,36.0,1014.9,6.75,211,1.144
2024-08-01 12:00:00+00:00,T01,35.95,1014.9,3.71,263,1.144
2024-08-01 13:00:00+00:00,T01,33.38,1013.4,8.75,243,1.152
2024-08-01 14:00:00+00:00,T01,32.71,1014.4,5.48,198,1.155
2024-08-01 15:00:00+00:00,T01,32.04,1013.5,4.81,213,1.157
2024-08-01 16:00:00+00:00,T01,29.62,1015.5,7.34,214,1.168
2024-08-01 17:00:00+00:00,T01,27.46,1012.6,6.19,223,1.174
2024-08-01 18:00:00+00:00,T01,28.14,1014.4,6.9,243,1.173
2024-08-01 19:00:00+00:00,T01,26.98,1014.9,7.32,253,1.178
2024-08-01 20:00:00+00:00,T01,25.82,1015.7,2.9,227,1.183
2024-08-01 21:00:00+00:00,T01,24.24,1014.4,8.66,232,1.188
2024-08-01 22:00:00+00:00,T01,24.71,1014.4,5.83,206,1.186
2024-08-01 23:00:00+00:00,T01,24.73,1013.4,6.91,250,1.185
2024-08-02 00:00:00+00:00,T01,25.57,1014.2,8.56,256,1.183
2024-08-02 01:00:00+00:00,T01,27.83,1015.3,5.89,220,1.175
2024-08-02 02:00:00+00:00,T01,28.99,1014.9,7.87,200,1.17
2024-08-02 03:00:00+00:00,T01,29.13,1014.7,8.12,269,1.169
2024-08-02 04:00:00+00:00,T01,30.71,1013.8,7.34,233,1.162
2024-08-02 05:00:00+00:00,T01,32.14,1015.1,8.06,187,1.158
2024-08-02 06:00:00+00:00,T01,32.12,1015.3,4.47,163,1.159
2024-08-02 07:00:00+00:00,T01,33.36,1014.1,4.58,196,1.153
2024-08-02 08:00:00+00:00,T01,33.65,1014.1,4.68,238,1.151
2024-08-02 09:00:00+00:00,T01,34.63,1015.8,6.65,198,1.15
2024-08-02 10:00:00+00:00,T01,37.23,1014.7,11.16,200,1.139
2024-08-02 11:00:00+00:00,T01,35.7,1014.1,5.5,191,1.144
2024-08-02 12:00:00+00:00,T01,34.03,1014.9,4.9,220,1.151
2024-08-02 13:00:00+00:00,T01,32.87,1013.0,4.44,240,1.153
2024-08-02 14:00:00+00:00,T01,31.32,1013.3,5.65,171,1.159
2024-08-02 15:00:00+00:00,T01,31.45,1015.6,5.36,196,1.162
2024-08-02 16:00:00+00:00,T01,30.19,1015.4,2.23,202,1.166
2024-08-02 17:00:00+00:00,T01,27.24,1011.8,5.26,197,1.173
2024-08-02 18:00:00+00:00,T01,27.53,1013.7,4.13,178,1.175
2024-08-02 19:00:00+00:00,T01,25.65,1014.7,5.22,223,1.183
2024-08-02 20:00:00+00:00,T01,26.87,1012.5,1.49,219,1.176
2024-08-02 21:00:00+00:00,T01,25.37,1012.9,1.98,233,1.182
2024-08-02 22:00:00+00:00,T01,26.45,1014.4,5.71,252,1.179
2024-08-02 23:00:00+00:00,T01,24.71,1011.8,2.59,207,1.183
2024-08-03 00:00:00+00:00,T01,25.39,1011.9,5.93,223,1.181
2024-08-03 01:00:00+00:00,T01,26.71,1012.0,6.07,212,1.176
2024-08-03 02:00:00+00:00,T01,28.68,1009.7,5.93,224,1.165
2024-08-03 03:00:00+00:00,T01,29.06,1011.7,6.44,240,1.166
2024-08-03 04:00:00+00:00,T01,28.93,1009.8,6.13,228,1.164
2024-08-03 05:00:00+00:00,T01,31.2,1011.7,6.44,193,1.158
2024-08-03 06:00:00+00:00,T01,32.75,1013.0,4.87,272,1.154
2024-08-03 07:00:00+00:00,T01,33.29,1011.1,5.8,242,1.15
2024-08-03 08:00:00+00:00,T01,33.94,1010.2,9.29,213,1.146
2024-08-03 09:00:00+00:00,T01,36.42,1011.0,6.75,186,1.138
2024-08-03 10:00:00+00:00,T01,34.62,1010.4,5.23,244,1.144
2024-08-03 11:00:00+00:00,T01,33.82,1010.6,5.0,250,1.147
2024-08-03 12:00:00+00:00,T01,34.96,1008.6,3.26,268,1.14
2024-08-03 13:00:00+00:00,T01,33.91,1008.7,3.9,271,1.144
2024-08-03 14:00:00+00:00,T01,31.89,1007.5,3.75,228,1.151
2024-08-03 15:00:00+00:00,T01,32.34,1009.3,4.81,258,1.151
2024-08-03 16:00:00+00:00,T01,30.28,1008.9,2.07,199,1.158
2024-08-03 17:00:00+00:00,T01,29.12,1009.0,0.3,237,1.163
2024-08-03 18:00:00+00:00,T01,28.21,1008.4,2.85,254,1.166
2024-08-03 19:00:00+00:00,T01,26.69,1007.9,5.51,221,1.171
2024-08-03 20:00:00+00:00,T01,25.27,1008.1,8.37,230,1.177
2024-08-03 21:00:00+00:00,T01,24.8,1008.7,5.8,237,1.179
2024-08-03 22:00:00+00:00,T01,24.88,1008.8,3.51,234,1.179
2024-08-03 23:00:00+00:00,T01,25.37,1010.6,5.21,264,1.179
2024-08-04 00:00:00+00:00,T01,24.83,1009.4,4.77,191,1.18
2024-08-04 01:00:00+00:00,T01,24.7,1007.9,5.89,252,1.179
2024-08-04 02:00:00+00:00,T01,27.48,1007.7,5.19,185,1.168
2024-08-04 03:00:00+00:00,T01,27.42,1010.0,4.6,206,1.171
2024-08-04 04:00:00+00:00,T01,28.34,1010.1,7.46,189,1.167
2024-08-04 05:00:00+00:00,T01,31.95,1008.9,7.45,203,1.152
2024-08-04 06:00:00+00:00,T01,31.87,1010.3,6.44,192,1.154
2024-08-04 07:00:00+00:00,T01,33.73,1010.3,7.68,222,1.147
2024-08-04 08:00:00+00:00,T01,33.73,1007.7,10.14,202,1.144
2024-08-04 09:00:00+00:00,T01,33.55,1008.8,6.4,262,1.146
2024-08-04 10:00:00+00:00,T01,33.97,1007.6,5.11,211,1.143
2024-08-04 11:00:00+00:00,T01,34.37,1010.1,6.89,200,1.144
2024-08-04 12:00:00+00:00,T01,33.87,1009.0,3.53,206,1.145
2024-08-04 13:00:00+00:00,T01,32.72,1009.4,6.54,215,1.15
